ngay,thi_phan_co_so,thi_phan_cn,thi_phan_ds,gtgd_cs_ssi,thanh_khoan_ttcs,tong_du_no_margin,slkh_margin,du_no_t7,slkh_t7,du_no_trading_plus,slkh_trading_plus,slkh_register_mplus,slkh_active_mplus,du_no_mplus,slkh_co_du_no_mplus,giai_ngan_mplus,slkh_giai_ngan_mplus,du_no_spv,ty_trong_spv,thi_phan_phai_sinh,thanh_khoan_tt_ps,slkh_ps,ty_le_slhd_dplus,slkh_dplus,ty_le_slkh_dplus,kh_cancel_dplus,kh_register_dplus,kh_giu_qua_dem,kh_sd_dplus,slhd_giu_qua_dem,du_no_dplus_giai_ngan,du_no_dplus_cuoi_ngay,so_du_scash,so_du_casa_scash,ty_le_scash_casa,slkh_scash,so_du_sfund,slkh_sfund,slkh_mo_moi
2026-01-05,0.0767,0.0,0.0,4134.0,27102.0,38665.0,21943.0,2153.0,4322.0,994.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0773,0.0,632.0,0.763,409.0,0.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2962.0,0.0,-1.0,3724.0,442.7,7213.0,0.0
2026-01-06,0.0792,0.0,0.0,4496.0,28851.0,39182.0,22090.0,2189.0,4355.0,1016.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0691,0.0,672.0,0.747,435.0,0.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2693.0,0.0,-1.0,3733.0,444.1,7235.0,0.0
2026-01-07,0.0811,0.0,0.0,5476.0,34185.0,39559.0,22220.0,2223.0,4393.0,1015.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0841,0.0,648.0,0.757,432.0,0.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.0,0.0,-1.0,3782.0,449.4,7250.0,0.0
2026-01-08,0.0699,0.0,0.0,5924.0,38773.0,39734.0,22426.0,2338.0,4448.0,1044.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0724,0.0,653.0,0.75,427.0,0.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2532.0,0.0,-1.0,3807.0,455.9,7265.0,0.0
2026-01-09,0.0725,0.0,0.0,5968.0,37411.0,40272.0,22738.0,2448.0,4514.0,1083.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0681,0.0,639.0,0.74,421.0,0.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2698.0,0.0,-1.0,3822.0,454.1,7267.0,0.0
2026-01-12,0.069,0.0,0.0,6049.0,44137.0,39666.0,22756.0,2423.0,4554.0,1091.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0598,0.0,612.0,0.785,414.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2806.0,0.0,-1.0,3857.0,457.2,7312.0,700.0
2026-01-13,0.0736,0.0,0.0,6667.0,41106.0,39914.0,22837.0,2565.0,4573.0,1099.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0674,0.0,613.0,0.768,426.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2934.0,0.0,-1.0,3939.0,465.0,7323.0,797.0
2026-01-14,0.069,0.0,0.0,7127.0,50492.0,40406.0,22873.0,2692.0,4612.0,1101.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0591,325854.0,657.0,0.709,435.0,0.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3106.0,0.0,-1.0,3994.0,465.9,7337.0,1012.0
2026-01-15,0.0746,0.0,0.0,6513.0,43643.0,40251.0,22868.0,2686.0,4634.0,1115.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0601,352927.0,692.0,0.678,419.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310.0,0.0,-1.0,4079.0,464.5,7344.0,977.0
2026-01-16,0.0715,0.0,0.0,5514.0,38520.0,39939.0,22741.0,2672.0,4656.0,1095.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0709,273690.0,643.0,0.807,404.0,0.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3577.0,0.0,-1.0,4196.0,464.2,7355.0,726.0
